Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
"IBM BOB 2 - Workforce",2026-03,EMP9934,IT,IT,"Data Engineer",NZL01,NSW,"New South Wales Operations",18247.24,405.84,1728.71,0.00,20381.79,146.2,72.6,tickets_resolved,146,119060.39,139.60,High,None,"No action",TXN005407,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1168,Commercial,Commercial,Controller,AUS01,QLD,"Queensland Operations",15089.88,688.96,1361.75,0.00,17140.60,150.6,82.7,revenue_cases,92,170867.37,186.31,Low,None,"No action",TXN005408,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7685,"Customer Care","Customer Care","Data Engineer",AUS01,QLD,"Queensland Operations",14709.69,1955.96,1471.97,0.00,18137.61,172.2,81.0,cases_resolved,153,51091.86,118.55,Medium,None,"No action",TXN005409,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8400,"Customer Care","Customer Care","Customer Service Lead",NZL01,HR,"Human Resources",10372.92,1882.61,1583.08,10490.56,24329.17,127.2,90.0,cases_resolved,191,88451.31,127.38,Medium,None,"No action",TXN005410,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6402,Finance,Finance,"Customer Service Lead",AUS01,R&D,"Research & Development",10017.13,1253.14,1370.45,0.00,12640.73,136.8,69.0,close_tasks,167,171589.82,75.69,High,None,"No action",TXN005411,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6833,Procurement,Procurement,"Sales Manager",AUS01,OPS,"Operations & Logistics",17575.19,1267.69,2523.41,0.00,21366.29,173.9,65.7,pos_processed,201,7360.05,106.30,High,None,"No action",TXN005412,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2808,FP&A,FP&A,"Revenue Analyst",NZL01,QLD,"Queensland Operations",13142.39,1240.06,1701.39,0.00,16083.84,166.9,71.7,forecast_models,176,122141.62,91.39,Low,None,"No action",TXN005413,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2748,IT,IT,"Inventory Coordinator",AUS01,SA,"South Australia Operations",15596.01,1628.48,1672.62,0.00,18897.11,167.1,67.8,tickets_resolved,102,148286.84,185.27,Low,None,"No action",TXN005414,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3172,Sales,Sales,"Finance Analyst",AUS01,OPS,"Operations & Logistics",15725.68,266.00,1550.36,0.00,17542.04,138.0,63.6,deals_supported,52,289765.28,337.35,High,"Low utilisation high cost","Review allocation / approve exception",TXN005415,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9030,Finance,Finance,Controller,PNG01,NT,"Northern Territory Operations",14214.45,787.72,2177.61,0.00,17179.78,178.5,95.5,close_tasks,302,146957.86,56.89,Medium,None,"No action",TXN005416,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7994,Operations,Operations,"Revenue Analyst",AUS01,FIN,"Finance & Accounting",8976.56,1016.59,1353.30,0.00,11346.45,163.6,93.6,flights_supported,166,861098.51,68.35,Medium,None,"No action",TXN005417,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6174,Finance,Finance,"Revenue Analyst",NZL01,CORP,"Corporate Head Office",17566.64,1987.58,3040.21,9881.73,32476.15,133.6,80.9,close_tasks,142,30079.31,228.71,Medium,"Contractor dependency","Review allocation / approve exception",TXN005418,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7750,FP&A,FP&A,"Procurement Specialist",AUS01,HR,"Human Resources",16252.65,2062.10,2371.00,4802.33,25488.08,159.4,55.4,forecast_models,142,85908.78,179.49,Medium,"Low utilisation high cost | Contractor dependency","Review allocation / approve exception",TXN005419,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2130,IT,IT,"Customer Service Lead",AUS01,IT,"Information Technology",15810.15,689.90,2627.20,0.00,19127.26,171.0,77.7,tickets_resolved,162,136600.57,118.07,Medium,None,"No action",TXN005420,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6410,Procurement,Procurement,"Sales Manager",AUS01,R&D,"Research & Development",13920.28,469.91,2429.31,0.00,16819.49,169.7,69.3,pos_processed,75,34513.32,224.26,High,None,"No action",TXN005421,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1931,Sales,Sales,Controller,AUS01,NSW,"New South Wales Operations",10242.66,421.62,1546.91,0.00,12211.19,181.2,81.2,deals_supported,177,167809.89,68.99,Medium,None,"No action",TXN005422,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9333,Sales,Sales,"Data Engineer",AUS01,CORP,"Corporate Head Office",6759.57,345.52,1116.56,14883.75,23105.40,171.2,79.2,deals_supported,234,738125.21,98.74,Medium,None,"No action",TXN005423,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1887,Finance,Finance,"Data Engineer",AUS01,CORP,"Corporate Head Office",6427.01,1341.13,908.33,0.00,8676.47,133.9,81.0,close_tasks,131,173465.57,66.23,High,None,"No action",TXN005424,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5850,Operations,Operations,"Inventory Coordinator",AUS01,WA,"Western Australia Operations",13969.85,352.64,2309.40,0.00,16631.88,175.4,59.3,flights_supported,178,535355.39,93.44,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005425,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2044,Procurement,Procurement,"Customer Service Lead",AUS01,VIC,"Victoria Operations",13839.66,1348.30,1996.77,0.00,17184.74,132.1,65.6,pos_processed,133,41688.61,129.21,Low,None,"No action",TXN005426,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7459,Procurement,Procurement,"Sales Manager",AUS01,QLD,"Queensland Operations",6033.29,312.49,714.61,0.00,7060.40,171.0,79.2,pos_processed,100,127881.65,70.60,Medium,None,"No action",TXN005427,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4640,"Customer Care","Customer Care","Finance Analyst",AUS01,NSW,"New South Wales Operations",11832.38,2076.43,1927.29,0.00,15836.10,172.5,81.1,cases_resolved,153,56637.84,103.50,Medium,None,"No action",TXN005428,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7050,Operations,Operations,"Procurement Specialist",AUS01,NSW,"New South Wales Operations",18066.52,368.54,2717.17,3543.60,24695.83,148.7,61.7,flights_supported,87,801464.22,283.86,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005429,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7464,IT,IT,"Procurement Specialist",AUS01,CORP,"Corporate Head Office",11637.46,1840.86,1950.71,0.00,15429.03,150.0,81.2,tickets_resolved,211,231191.14,73.12,Medium,None,"No action",TXN005430,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3488,Operations,Operations,"Finance Analyst",AUS01,VIC,"Victoria Operations",10769.50,96.11,1473.11,0.00,12338.72,139.7,84.5,flights_supported,125,112913.93,98.71,Medium,None,"No action",TXN005431,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9631,Sales,Sales,"FP&A Manager",AUS01,ACT,"Australian Capital Territory",16557.99,1842.52,2189.14,0.00,20589.65,180.6,97.4,deals_supported,169,220521.76,121.83,High,None,"No action",TXN005432,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9687,FP&A,FP&A,"Procurement Specialist",AUS01,SA,"South Australia Operations",17134.82,2002.71,1447.45,0.00,20584.98,130.4,59.5,forecast_models,54,203026.85,381.20,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005433,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7387,FP&A,FP&A,Controller,AUS01,OPS,"Operations & Logistics",12398.80,1521.97,1551.20,12376.93,27848.91,120.3,67.4,forecast_models,94,172161.50,296.26,Medium,"Contractor dependency","Review allocation / approve exception",TXN005434,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7362,"Customer Care","Customer Care",Controller,AUS01,NT,"Northern Territory Operations",17977.76,424.56,1512.33,0.00,19914.66,121.3,85.6,cases_resolved,68,139631.93,292.86,Medium,None,"No action",TXN005435,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1231,Commercial,Commercial,"Revenue Analyst",AUS01,IT,"Information Technology",14338.76,15.19,2090.98,0.00,16444.93,182.3,78.4,revenue_cases,124,715546.55,132.62,High,None,"No action",TXN005436,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4080,Procurement,Procurement,"Inventory Coordinator",AUS01,NSW,"New South Wales Operations",6371.52,341.53,561.52,0.00,7274.56,150.4,59.3,pos_processed,41,19149.95,177.43,Medium,None,"No action",TXN005437,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1219,Procurement,Procurement,Controller,NZL01,NT,"Northern Territory Operations",12866.50,625.11,1994.71,4526.50,20012.83,182.9,61.3,pos_processed,161,220452.60,124.30,High,"Low utilisation high cost","Review allocation / approve exception",TXN005438,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6442,FP&A,FP&A,"Inventory Coordinator",AUS01,IT,"Information Technology",16425.16,1565.80,2011.75,8276.55,28279.25,123.4,80.2,forecast_models,123,137036.49,229.91,Medium,"Contractor dependency","Review allocation / approve exception",TXN005439,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7772,Commercial,Commercial,"Data Engineer",NZL01,TAS,"Tasmania Operations",14480.31,1984.94,2364.66,0.00,18829.91,152.3,85.2,revenue_cases,230,743239.60,81.87,Medium,None,"No action",TXN005440,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9052,Sales,Sales,"Finance Analyst",AUS01,SA,"South Australia Operations",12453.80,953.29,1915.49,0.00,15322.59,145.3,78.9,deals_supported,66,579012.91,232.16,Medium,None,"No action",TXN005441,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4832,"Customer Care","Customer Care","Revenue Analyst",AUS01,OPS,"Operations & Logistics",10436.06,1169.76,1051.64,0.00,12657.46,179.7,60.3,cases_resolved,79,5513.87,160.22,High,"Low utilisation high cost","Review allocation / approve exception",TXN005442,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8290,Finance,Finance,"Operations Planner",NZL01,OPS,"Operations & Logistics",11232.04,191.86,1787.13,11744.64,24955.67,183.5,81.7,close_tasks,169,157923.50,147.67,Medium,"Contractor dependency","Review allocation / approve exception",TXN005443,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9242,IT,IT,"Procurement Specialist",FJI01,OPS,"Operations & Logistics",12140.91,1954.44,1844.75,0.00,15940.10,141.3,65.9,tickets_resolved,163,191074.68,97.79,Medium,None,"No action",TXN005444,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1739,Operations,Operations,Controller,AUS01,NT,"Northern Territory Operations",14033.66,53.22,2482.62,0.00,16569.50,184.3,61.7,flights_supported,145,373635.73,114.27,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005445,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1508,IT,IT,"Procurement Specialist",AUS01,NSW,"New South Wales Operations",16493.00,829.85,2552.58,0.00,19875.43,146.3,55.8,tickets_resolved,48,184540.46,414.07,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005446,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3496,Finance,Finance,"Revenue Analyst",AUS01,R&D,"Research & Development",17267.10,588.22,2316.85,0.00,20172.17,183.1,67.7,close_tasks,68,72537.24,296.65,Medium,None,"No action",TXN005447,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9126,Operations,Operations,"Sales Manager",AUS01,WA,"Western Australia Operations",11646.99,200.21,1825.65,0.00,13672.85,127.4,67.4,flights_supported,94,67441.77,145.46,High,None,"No action",TXN005448,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2468,IT,IT,"FP&A Manager",AUS01,ACT,"Australian Capital Territory",15338.85,57.22,1475.05,0.00,16871.12,169.1,65.5,tickets_resolved,71,53082.94,237.62,Low,None,"No action",TXN005449,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9084,Operations,Operations,"FP&A Manager",AUS01,NT,"Northern Territory Operations",15792.32,1016.04,2653.95,0.00,19462.31,132.8,76.7,flights_supported,92,241570.51,211.55,High,None,"No action",TXN005450,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8962,Sales,Sales,"Data Engineer",FJI01,VIC,"Victoria Operations",14882.58,344.95,1590.94,0.00,16818.47,181.1,67.5,deals_supported,128,110936.33,131.39,High,None,"No action",TXN005451,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4099,Operations,Operations,"Inventory Coordinator",NZL01,R&D,"Research & Development",12235.51,73.20,1931.79,0.00,14240.50,169.9,76.0,flights_supported,173,696711.67,82.32,Medium,None,"No action",TXN005452,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5968,Finance,Finance,"Data Engineer",AUS01,WA,"Western Australia Operations",6380.73,1024.03,1138.91,0.00,8543.67,174.1,84.2,close_tasks,147,228422.59,58.12,High,None,"No action",TXN005453,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8464,IT,IT,"FP&A Manager",AUS01,VIC,"Victoria Operations",5606.72,2018.62,598.91,0.00,8224.25,120.9,92.5,tickets_resolved,57,191706.80,144.29,High,"High overtime","Review allocation / approve exception",TXN005454,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4970,Finance,Finance,"Inventory Coordinator",AUS01,VIC,"Victoria Operations",16473.08,674.53,1900.86,0.00,19048.46,184.9,63.4,close_tasks,84,149468.81,226.77,Low,"Low utilisation high cost","Review allocation / approve exception",TXN005455,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8513,IT,IT,"Customer Service Lead",FJI01,QLD,"Queensland Operations",17749.40,744.76,1634.49,0.00,20128.65,181.7,81.3,tickets_resolved,186,4995.42,108.22,Medium,None,"No action",TXN005456,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3789,Sales,Sales,"Operations Planner",AUS01,HR,"Human Resources",16229.29,347.23,1962.20,4670.26,23208.98,128.7,82.6,deals_supported,179,629000.87,129.66,Medium,None,"No action",TXN005457,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3149,Commercial,Commercial,"Data Engineer",NZL01,NT,"Northern Territory Operations",9513.39,162.07,801.73,0.00,10477.19,123.3,56.1,revenue_cases,39,558140.77,268.65,Low,None,"No action",TXN005458,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4066,"Customer Care","Customer Care","Customer Service Lead",NZL01,TAS,"Tasmania Operations",14402.86,195.59,2232.24,0.00,16830.70,164.1,68.9,cases_resolved,102,13435.30,165.01,High,None,"No action",TXN005459,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8111,Commercial,Commercial,"Data Engineer",FJI01,CORP,"Corporate Head Office",8443.77,1439.97,1476.49,4277.12,15637.35,147.5,56.0,revenue_cases,103,86434.98,151.82,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005460,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5844,Finance,Finance,"Finance Analyst",NZL01,SA,"South Australia Operations",12070.43,907.72,999.42,0.00,13977.58,121.4,70.5,close_tasks,57,9667.38,245.22,Low,None,"No action",TXN005461,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2251,Finance,Finance,"Revenue Analyst",FJI01,HR,"Human Resources",15819.22,852.00,1854.67,0.00,18525.88,164.0,80.3,close_tasks,93,245843.26,199.20,Medium,None,"No action",TXN005462,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6149,"Customer Care","Customer Care","Inventory Coordinator",AUS01,NT,"Northern Territory Operations",16406.77,167.25,1492.58,0.00,18066.60,126.0,89.8,cases_resolved,146,75421.94,123.74,High,None,"No action",TXN005463,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8818,Operations,Operations,Controller,AUS01,NT,"Northern Territory Operations",6663.22,233.42,926.63,0.00,7823.26,129.0,71.6,flights_supported,122,615993.65,64.13,Medium,None,"No action",TXN005464,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3757,Procurement,Procurement,"Operations Planner",AUS01,IT,"Information Technology",15416.95,984.99,2207.36,0.00,18609.30,151.6,94.7,pos_processed,220,170835.26,84.59,Medium,None,"No action",TXN005465,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3553,Finance,Finance,"Data Engineer",PNG01,ACT,"Australian Capital Territory",7536.70,1532.28,698.84,0.00,9767.82,159.7,94.8,close_tasks,204,80089.44,47.88,Medium,None,"No action",TXN005466,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1012,"Customer Care","Customer Care","Finance Analyst",NZL01,IT,"Information Technology",9907.70,1440.68,1418.85,0.00,12767.23,122.6,71.3,cases_resolved,139,58749.76,91.85,Medium,None,"No action",TXN005467,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9424,FP&A,FP&A,"Finance Analyst",AUS01,OPS,"Operations & Logistics",11897.68,1334.10,1744.92,6914.63,21891.34,179.8,83.5,forecast_models,147,69847.82,148.92,Medium,"Contractor dependency","Review allocation / approve exception",TXN005468,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5372,Finance,Finance,"Sales Manager",AUS01,WA,"Western Australia Operations",10086.67,1147.83,1229.67,0.00,12464.16,176.4,69.7,close_tasks,186,105096.24,67.01,High,None,"No action",TXN005469,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6611,Procurement,Procurement,Controller,NZL01,SA,"South Australia Operations",11777.09,1715.41,1882.54,0.00,15375.03,130.2,90.5,pos_processed,174,27842.38,88.36,Medium,None,"No action",TXN005470,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5139,"Customer Care","Customer Care","Finance Analyst",NZL01,FIN,"Finance & Accounting",7101.17,1407.79,1126.69,7404.32,17039.97,134.7,96.9,cases_resolved,128,143787.25,133.12,High,None,"No action",TXN005471,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1154,Commercial,Commercial,"Operations Planner",AUS01,R&D,"Research & Development",15855.27,1632.42,1624.27,0.00,19111.97,185.0,83.1,revenue_cases,142,623538.13,134.59,Medium,None,"No action",TXN005472,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2326,Finance,Finance,"FP&A Manager",AUS01,ACT,"Australian Capital Territory",17871.00,932.85,1733.71,0.00,20537.56,139.6,76.4,close_tasks,121,13692.38,169.73,Medium,None,"No action",TXN005473,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8143,Procurement,Procurement,"Sales Manager",AUS01,TAS,"Tasmania Operations",17782.15,1859.99,2777.06,0.00,22419.20,126.2,81.6,pos_processed,121,79683.83,185.28,Low,None,"No action",TXN005474,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
